avantages_inconvenients;avis_commentaire;avis_etat_emploi;avis_localisation;avis_note;fichier_source;id_avis_soc;nom_societe;note_moyenne
Avantages : L'application me plaît et la France est le pays de mes rêves. Inconvénients : Pas de défis professionnels.;J'ai travaillé chez Capgemini Invent à temps plein moins d'un an;Ancien employé - Peinture de maison;Paris;2;13746-AVIS-SOC-GLASSDOOR-E589990_P2.html;166;Capgemini Invent;4.0
Avantages : bonne humeur et bonne ambiance avec des RH à l'écoute ca change des autres ESN Expert technique toujours prêt à aider, Chef de projet à l’écoute , Equipe RH , présente et à l'écoute, Entreprise tournée vers l'humain, Inconvénients : l'accès à l'agence en transport en commun uniquement par BUS;Je travaille chez Open à temps plein depuis plus de 10 ans;Employé actuel - Scrum Master;Villeurbanne;2;13753-AVIS-SOC-GLASSDOOR-E13339_P1.html;167;Open;3.5
NULL NULL;J'ai travaillé chez Open à temps plein plus de 10 ans;Ancien employé - Concepteur AMOA Senior;Paris;3;13753-AVIS-SOC-GLASSDOOR-E13339_P2.html;168;Open;3.5
Avantages : Carte Tickets Restaurant + Mutuelle Inconvénients : Aucune considération du salarié dans l'ensemble de la hiérarchie.;Je travaille chez Open Minds Open Hearts Day Care à temps plein depuis moins d'un an;Employé actuel - Ingénieur Consultant;Tours, Centre;1;13755-AVIS-SOC-GLASSDOOR-E1762947_P1.html;169;Open Minds Open Hearts Day Care;2.0
Avantages : - Des valeurs reconnues et partagées par le plus grand nombre, qui permettent de créer une véritable dynamique entre les collaborateurs, - Une équipe soudée, - Des bureaux modernes et agréables, où il fait bon de travailler, - Chacun est libre d'apporter sa pierre à l'édifice pour faire grandir Abaka. Inconvénients : - Les plages horaires assez amples, - La localisation est un peu ex-centrée.;J'ai travaillé chez Abaka à;Ancien stagiaire - Stagiaire anonyme;;4;13570-AVIS-SOC-GLASSDOOR-E1394648_P1.html;17;Abaka;4.8
NULL NULL;Je travaille chez OpenText à temps plein depuis plus de 8 ans;Employé actuel - Solutions Consultant;;4;13758-AVIS-SOC-GLASSDOOR-E5694_P1.html;170;OpenText;3.2
NULL NULL;Je travaille chez OpenText à temps plein;Employé actuel - Anonymous;Paris;2;13758-AVIS-SOC-GLASSDOOR-E5694_P2.html;171;OpenText;3.2
Avantages : Bonne ambiance de travail Travail en Open space Proximité avec ses supérieurs Inconvénients : Sentiments d'être peu considéré UN élément de l'équipe génère des tensions au sein de l'entreprise;J'ai travaillé chez Open Sourcing à;Ancien stagiaire - Chargée De Recrutement;Levallois-Perret;4;13760-AVIS-SOC-GLASSDOOR-E1194086_P1.html;172;Open Sourcing;3.0
Avantages : Process de recrutement efficace et humain Formations métiers en continu Environnement stimulant et challengeant Inconvénients : Manque de managment auprès des équipes;J'ai travaillé chez Artefact à temps plein;Ancien employé - Junior Consultant;Paris;3;13761-AVIS-SOC-GLASSDOOR-E1366034_P1.html;173;Artefact;4.0
Avantages : - Des collègues à l'écoute & sympas - un vrai sentiment d'équipe - Des équipes pros - forts dans leurs domaines d'activité - Un réseau international: besoin d'aide sur le social listening en Asie? Le bureau de Shanghai est là pour vous. Un client au Danemark? Le bureau de Copenhague est à votre disposition. - Missions au coeur de l'actualité digitale: machine learning, intelligence artificielle, big data,...MarTech... - Formations en continue: tout le monde doit progresser - et l'infrastructure y est présenteDérouler Inconvénients : - Croissance +++ : on est en forte demande dès les premières semaines - l'organisation de son temps est crucial pour la réussite! (mais l'entreprise y est consciente - formation productivité dès l'arrivée...);J'ai travaillé chez Artefact à temps plein moins d'un an;Employé actuel - manager conseil;Paris;3;13761-AVIS-SOC-GLASSDOOR-E1366034_P2.html;174;Artefact;4.0
Avantages : Carte Apetiz, mutuelle, remboursement à 50% des titres de transports Inconvénients : Les horaires : le rythme est soutenu;Je travaille chez Artefact Group à temps plein depuis moins d'un an;Employé actuel - Employé anonyme;;5;13762-AVIS-SOC-GLASSDOOR-E253138_P1.html;175;Artefact Group;3.9
Avantages : Expérience personnellement enrichissante de par la diversité des projets gérés durant mes 4 ans. Inconvénients : Un studio qui gagne à être davantage connu;J'ai travaillé chez Artefacts Studio à;;;5;13764-AVIS-SOC-GLASSDOOR-E1164584_P1.html;176;Artefacts Studio;4.6
Avantages : Équipe jeune, dynamique. Entreprise innovante dans un secteur très porteur. A signé avec Microsoft Corp de Boston. Entreprise qui développe un algorithme qui est recherché à l'international et commence à s'ouvrir en France. Dans l'optique de signer des marchés en Europe et aux Etats-unis. Inconvénients : Situation à Malakoff pour l'instant;Je travaille chez Openfield Live à temps plein;Employé actuel - Employé anonyme;;4;13767-AVIS-SOC-GLASSDOOR-E1387356_P1.html;177;Openfield Live;2.4
Avantages : A Zürich, il y a vraiment une philosophie qui vise à s'assurer que tout le monde profite de ses journées et que le succès du travail en résulte. Skier tous les week-ends en hiver Se prélasser au soleil pendant les mois d'été (toujours +30C). Baignade à l'heure du déjeuner dans le lac/la rivière. Au bureau, on se sent en famille, car tout le monde traite tout le monde avec respect comme un membre de la famille....Primes sur mesure pour le bureau suisse. Beaucoup d'opportunités de croissance interne et ensuite déménagement à l'étranger ou à Londres à un certain niveau. L'évaluation des candidats et des clients en Suisse est très bonne et nous les rencontrons souvent dans les bars, etc.Dérouler Inconvénients : Coût de la vie (nourriture, dans les restaurants et les supermarchés) - vous recevez cependant des récompenses pour compenser.;Je travaille chez Phaidon International à;Directeur des ventes senior;Zurich;4;13769-AVIS-SOC-GLASSDOOR-E658429_P1.html;178;Phaidon International;3.9
Avantages : Ambiance familiale, dynamique, on nous donne les moyens d'innover et de se lancer dans différents projets. La direction soutient ses employés et est souple et accessible très facilement. Fort accompagnement RH/Commercial Inconvénients : Demande un investissement personnel important (parfois difficile équilibre vie pro/vie privée).;J'ai travaillé chez D2SI à temps plein moins d'un an;Employé actuel - Employé anonyme;;2;13770-AVIS-SOC-GLASSDOOR-E1013306_P1.html;179;D2SI;4.0
Avantages : L'ambiance L'intégration Management de proximité Société en pleine croissance Inconvénients : Il faut maîtriser l'anglais, ne pas être obsolète au niveau des connaissances IT;Je travaille chez Expertime à;Intérimaire actuel - Intérimaire anonyme;Viroflay;4;13571-AVIS-SOC-GLASSDOOR-E1061225_P1.html;18;Expertime;3.7
Avantages : Une certaine liberté dans les projets Inconvénients : suivi de carrière inexistant, employé = ressource jetable;J'ai travaillé chez Adthink-Media à temps plein plus d'un an;Ancien employé - Employé anonyme;Tassin;2;13771-AVIS-SOC-GLASSDOOR-E1125581_P1.html;180;Adthink-Media;2.8
Avantages : jours de repos supplémentaire pour travail durant WE et JF primes de déplacement tout pays toutes conditions Inconvénients : interessement et participation aux bénéfices inexistants pas de 13 mois salaire de base inférieur au marché. evolution de carriere non prévu.;Je travaille chez SKF à temps plein depuis plus de 10 ans;Employé actuel - Field Service Engineer;Nieuwegein;3;13772-AVIS-SOC-GLASSDOOR-E3974_P1.html;181;SKF;4.0
Avantages : Travailler dans une boite comme Gfi étant consultant on a moins de risque d'être en inter contrat Inconvénients : Le salaire, pas de prime, pas de considération on est come un numéro qu'on peut changer à tout moment parce qu'on a du nombre.;J'ai travaillé chez GFI à temps plein plus de 3 ans;Ancien employé - Consultant Amoe/amoa;Paris;3;13777-AVIS-SOC-GLASSDOOR-E116383_P1.html;182;GFI;2.9
Avantages : Comité d'entreprise, tickets restaurant, choix des missions Inconvénients : Pas de connaissance du marché;Je travaille chez GFI à temps plein depuis plus de 8 ans;Employé actuel - consultant moa banque finance;Neuilly;3;13777-AVIS-SOC-GLASSDOOR-E116383_P2.html;183;GFI;2.9
NULL NULL;Je travaille chez Gfi Informatique à temps plein depuis plus de 5 ans;Ancien employé - Consultante;La Chapelle;4;13778-AVIS-SOC-GLASSDOOR-E9028_P1.html;184;Gfi Informatique;3.4
Avantages : Mutuel, Qualité des collègues de travail Inconvénients : Locaux minuscule, Formations inexistante, peut voir pas de moyen mis a disposition des équipes;Je travaille chez Gfi Informatique à temps plein depuis plus de 3 ans;Employé actuel - Développeur;Montpellier;5;13778-AVIS-SOC-GLASSDOOR-E9028_P2.html;185;Gfi Informatique;3.4
Avantages : - Bonne ambiance de travail Inconvénients : - pas d’évolution - pas d'augmentation de salaire en 3 ans;Je travaille chez GFI Software à temps plein depuis plus de 3 ans;Employé actuel - Employé anonyme;;3;13779-AVIS-SOC-GLASSDOOR-E33451_P1.html;186;GFI Software;2.2
NULL NULL;J'ai travaillé chez GFI Group à plus de 5 ans;Senior;Londres, Angleterre;3;13780-AVIS-SOC-GLASSDOOR-E35333_P1.html;187;GFI Group;3.2
Avantages : Super bonnes conditions de travail, belle équipe et énergie. Inconvénients : Les politiques, la culture et les procédures sont déjà établis, pas de place pour la nouveauté ou au changement.;J'ai travaillé chez ACCEO Solutions à temps plein plus de 3 ans;Ancien employé - Analyst Programmer;Québec, QC;3;13783-AVIS-SOC-GLASSDOOR-E231247_P1.html;188;ACCEO Solutions;3.3
NULL NULL;J'ai travaillé chez GFI Group à plus de 5 ans;Senior;Londres, Angleterre;3;13787-AVIS-SOC-GLASSDOOR-E35333_P1.html;189;GFI Group;3.2
Avantages : Expertime est une entreprise humaine, à l’écoute de ses collaborateurs. J’apprécie les actions mises en œuvre pour leur bien-être et leur épanouissement (espace co-working, panier de fruits, formations etc.) Je recommande vivement cette entreprise Inconvénients : La distance entre le centre de Paris et Viroflay. Cela dit Viroflay est quand même facilement accessible grâce à ses 2 lignes de train (départ gare St Lazare & départ Gare Montparnasse) + RER C;Je travaille chez Expertime à temps plein;Employé actuel - Expert technique;Paris;5;13571-AVIS-SOC-GLASSDOOR-E1061225_P2.html;19;Expertime;3.7
Avantages : Facilité à évoluer, changer de postes/missions Inconvénients : Grand groupe, organisation matricielle, cloisonnement inter BU;Je travaille chez Gfi Informatique à temps plein depuis plus de 5 ans;Ancien employé - Consultante;La Chapelle;4;13790-AVIS-SOC-GLASSDOOR-E9028_P1.html;190;Gfi Informatique;3.4
Avantages : Mutuel, Qualité des collègues de travail Inconvénients : Locaux minuscule, Formations inexistante, peut voir pas de moyen mis a disposition des équipes;Je travaille chez Gfi Informatique à temps plein depuis plus de 3 ans;Employé actuel - Développeur;Montpellier;5;13790-AVIS-SOC-GLASSDOOR-E9028_P2.html;191;Gfi Informatique;3.4
Avantages : Travailler dans une boite comme Gfi étant consultant on a moins de risque d'être en inter contrat Inconvénients : Le salaire, pas de prime, pas de considération on est come un numéro qu'on peut changer à tout moment parce qu'on a du nombre.;J'ai travaillé chez GFI à temps plein plus de 3 ans;Ancien employé - Consultant Amoe/amoa;Paris;3;13791-AVIS-SOC-GLASSDOOR-E116383_P1.html;192;GFI;2.9
Avantages : Comité d'entreprise, tickets restaurant, choix des missions Inconvénients : Pas de connaissance du marché;Je travaille chez GFI à temps plein depuis plus de 8 ans;Employé actuel - consultant moa banque finance;Neuilly;3;13791-AVIS-SOC-GLASSDOOR-E116383_P2.html;193;GFI;2.9
Avantages : - Bonne ambiance de travail Inconvénients : - pas d’évolution - pas d'augmentation de salaire en 3 ans;Je travaille chez GFI Software à temps plein depuis plus de 3 ans;Employé actuel - Employé anonyme;;3;13792-AVIS-SOC-GLASSDOOR-E33451_P1.html;194;GFI Software;2.2
NULL NULL;J'ai travaillé chez ACCEO Solutions à temps plein plus de 3 ans;Ancien employé - Analyst Programmer;Québec, QC;3;13795-AVIS-SOC-GLASSDOOR-E231247_P1.html;195;ACCEO Solutions;3.3
Avantages : Multinationale et renommée du groupe, intéressement, Inconvénients : Le management n'est pas au niveau;J'ai travaillé chez Accor à temps plein plus de 10 ans;Employé actuel - Employé anonyme;Paris;4;13796-AVIS-SOC-GLASSDOOR-E3054_P1.html;196;Accor;3.8
Avantages : Une grande entreprise avec beaucoup de potentiel. Inconvénients : La direction d'un « club de vieux garçons » à deux visages protégeant leurs emplois cloisonnés (je faisais partie de l'équipe de direction et j'ai donc vu la politique de mes propres yeux) de manière destructive et ouvertement agressive, criant dans les réunions, intimidant et aliénant les nouveaux employés embauchés avec des compétences modernes et une expérience plus pertinentes que leurs propres « guerres...intestines ». La direction venant des États-Unis n'a aucune idée de la façon dont les choses fonctionnent en France et n'a ni le cran ni l'intégrité pour y remédier. Plus de 50 p. des 100 employés sont actuellement des entrepreneurs.... c'est un autre problème majeur... les entrepreneurs n'ont aucun intérêt direct autre que celui de continuer à recevoir un chèque de paie. Ils promettent le monde, un grand environnement, etc., et ne délivrent rien d'autre que le contraire. Environnement malsain. Gardez-vous d'y aller.Dérouler;Je travaille chez Accor à temps plein depuis plus de 5 ans;Employé actuel - Formateur;Évry, Île-de-France;5;13796-AVIS-SOC-GLASSDOOR-E3054_P2.html;197;Accor;3.8
Avantages : Bon environnement de travail, bonne équipe Inconvénients : Système de quarts de travail, travaillant parfois la nuit ou étant libre pendant la semaine;Je travaille chez ibis à;Anonymous;Paris;3;13800-AVIS-SOC-GLASSDOOR-E1443740_P1.html;198;ibis;3.9
Avantages : Carte accord qui vous permet d'avoir de bonne remise dans tous les hôtels du groupe accord. Repas fourni sur place, pas chère mais loin d'être bon. Inconvénients : Aucune considération de la part de la direction et des clients. Horaires décalés. Travail de nuit de temps en temps pour remplacer le réceptionniste de nuit. Salaire très bas.;J'ai travaillé chez ibis à temps plein plus d'un an;Ancien employé - Receptionist;Châtelaillon;3;13800-AVIS-SOC-GLASSDOOR-E1443740_P2.html;199;ibis;3.9
NULL NULL;Je travaille chez Devoteam à temps plein depuis plus de 5 ans;Employé actuel - Ingénieur Devops;Paris;5;13546-AVIS-SOC-GLASSDOOR-E12966_P2.html;2;Devoteam;4.1
Avantages : Une société pleine de valeurs où il fait bon vivre ! Inconvénients : Je cherche, je cherche mais je ne trouve pas.;Je travaille chez Adsearch à depuis moins d'un an;Stagiaire actuel - Chargée De Recrutement;Bordeaux, Aquitaine;4;13572-AVIS-SOC-GLASSDOOR-E2098670_P1.html;20;Adsearch;4.5
Avantages : 13ème mois, transports remboursés à 50%... Inconvénients : Management de l'ancien temps !;Je travaille chez La Redoute à temps plein depuis plus d'un an;Employé actuel - Project Coordinator;Roubaix;3;13801-AVIS-SOC-GLASSDOOR-E736804_P1.html;200;La Redoute;3.9
Avantages : Bonne ambiance/ proximitée du site de Rungis /horaires décalés à l'opposé des horaires de bureau habituels / travail diversifié Inconvénients : salaire insufisant / travail intensif nécessitant une bonne résistance au stress;J'ai travaillé chez La Redoute à;;Lille;1;13801-AVIS-SOC-GLASSDOOR-E736804_P2.html;201;La Redoute;3.9
Avantages : Aucun avantage dans cette société Inconvénients : Management par la terreur en permanence;Je travaille chez LA REDOUTE à temps plein;Employé actuel - Employé anonyme;;1;13802-AVIS-SOC-GLASSDOOR-E3127620_P1.html;202;LA REDOUTE;0.0
Avantages : on y apparent très bien, les mission sont intéréssantes Inconvénients : le stress est présent mais cela fait parti du métier;Je travaille chez Veolia à temps plein depuis plus d'un an;Employé actuel - Digital Product Manager;Douarnenez;5;13803-AVIS-SOC-GLASSDOOR-E20114_P1.html;203;Veolia;3.4
Avantages : Entreprise humaine et enrichissantes. Évolution de carrière Inconvénients : Aucun, ce qui est de plus en plus rare.;Je travaille chez Veolia à temps plein;Employé actuel - Comptable;Anderlecht;1;13803-AVIS-SOC-GLASSDOOR-E20114_P2.html;204;Veolia;3.4
Avantages : Contexte international stimulant. Beaucoup de technologies. Il est possible d'avoir un beau parcours si l'on est prêt à bouger vraiment beaucoup. Le management aime sa boite, c'est bien. Inconvénients : Les révisions salariales ne sont intéressantes qu'au changement de poste et c'est vraiment dommage. Il y a encore peu de femmes au sein de l'équipe dirigeante.;Je travaille chez OTV à temps plein depuis plus de 8 ans;;Suresnes;5;13805-AVIS-SOC-GLASSDOOR-E846722_P1.html;205;OTV;4.2
Avantages : De moins en moins d avantages Inconvénients : Les temps de travaille à rallonge;Je travaille chez Veolia Water Tech à temps plein depuis plus de 5 ans;Employé actuel - Responsable service technique;Wissous;4;13806-AVIS-SOC-GLASSDOOR-E2701639_P1.html;206;Veolia Water Tech;3.7
Avantages : Travail dans le secteur bancaire Bien payé Inconvénients : Horaires et contexte très exigeants;Je travaille chez Groupe NICOLLIN - Groupe VEOLIA à temps plein;Employé actuel - Employé anonyme;;3;13807-AVIS-SOC-GLASSDOOR-E1260894_P1.html;207;Groupe NICOLLIN - Groupe VEOLIA;3.0
Avantages : 13éme mois, chèque vacances, chèque culture, Bon CE. Bons d’achat cadeaux noël, etc... Inconvénients : Un problème de management;Je travaille chez Transdev à temps plein depuis plus de 10 ans;Ancien employé - Assistante RH;Issy;1;13809-AVIS-SOC-GLASSDOOR-E413452_P1.html;208;Transdev;2.9
Avantages : une entreprise très axée sur l'humain Inconvénients : difficulté à garder nos marchés, concurrence extrèmement aggressive;J'ai travaillé chez Transdev à temps plein plus de 8 ans;Ancien employé - Employé anonyme;Chambéry;5;13809-AVIS-SOC-GLASSDOOR-E413452_P2.html;209;Transdev;2.9
Avantages : La bonne humeur, l'entraide et la jeunesse d'esprit de tous les adsearchers. Inconvénients : Aucuns inconvénients probants. La marque se développe rapidement alors parfois l'organisation est un peu fouillis mais voilà tout.;Je travaille chez Adsearch à temps plein depuis moins d'un an;Employé actuel - Consultante;;5;13572-AVIS-SOC-GLASSDOOR-E2098670_P2.html;21;Adsearch;4.5
Avantages : Travailler dans une société où la simplicité et l'humain sont au coeur de la structure. Bienveillance en interne pour que être bienveillant avec nos candidats et intérimaires. Les salaires fixes ne sont pas énormes mais le variable est important et ACCESSIBLE ! La direction n'est qu'à un ou deux niveau au dessus de chaque employé ! Vous pouvez communiquer avec votre DG sans problème Inconvénients : Comme toutes sociétés de recrutement, très peu d'avantages. Mais des supérieurs attentifs aux bien être des salariés.;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;Employé actuel - Consultant recrutement;Lyon;2;13574-AVIS-SOC-GLASSDOOR-E1130973_P1.html;22;Groupe Adéquat;3.9
Avantages : Groupe familiale dans lequel le travail, le respect des personnes et la prise en compte de l'évolution personnelle ne sont pas de vains mots. L'encadrement soutient ses collaborateurs dans les bons comme dans les mauvais moments. Les équipes ont la liberté de pouvoir proposer des projets et d'être entendu. Inconvénients : Il n'y a pas de CE.;Je travaille chez Groupe Adéquat à temps plein depuis plus de 10 ans;Employé actuel - chargée de compte;Poitiers;4;13574-AVIS-SOC-GLASSDOOR-E1130973_P2.html;23;Groupe Adéquat;3.9
Avantages : Aucun vu qu'on n'est pas payé. Inconvénients : On n'est pas payé si MFP n'est pas payé par ses propres clients. Sacré inconvénient et sacrément illégal ! Essaie de vous faire signer des contrats a posteriori modifiant les termes convenus à la commande.;J'ai travaillé chez Multimedia France Productions à;Ancien freelance - Sous-titreuse;Paris;1;13575-AVIS-SOC-GLASSDOOR-E1922609_P1.html;24;Multimedia France Productions;1.0
Avantages : Ticket restaurant, Autonomie, mission chez différents clients inintéressantes. Inconvénients : Manque de suivi et d'écoute par les managers, sauf au moment des Entretiens annuels, ou une rupture conventionnelle ??? Pas de visite médicale, pas de formations (plusieurs demandes), ne suivent pas les conventions collectives.;Je travaille chez Modis à temps plein depuis plus de 3 ans;Employé actuel - Team Leader;Cergy-Pontoise, Val-d'Oise, Île-de-France;4;13576-AVIS-SOC-GLASSDOOR-E18712_P1.html;25;Modis;3.2
Avantages : Très bonne boite / bonne ambiance Inconvénients : Avantages CE pas assez développés;J'ai travaillé chez Modis à temps plein plus d'un an;Employé actuel - Ingénieur D'étude Et Développement;Pau, Aquitaine;2;13576-AVIS-SOC-GLASSDOOR-E18712_P2.html;26;Modis;3.2
Avantages : Possibilité de travailler sur de vastes projets d'importance stratégique dans le domaine de la haute technologie. De nombreuses possibilités d'évoluer avec des projets variés. Grande autonomie pour chaque employé. Inconvénients : Mauvaise gestion des RH, carrière décidée par le diplôme initial. Difficulté à lancer de nouveaux projets. Lenteur administrative fréquente dans la vie quotidienne.;Je travaille chez UK Ministry of Defence à;Anonymous;Paris;4;13577-AVIS-SOC-GLASSDOOR-E235143_P1.html;27;UK Ministry of Defence;3.5
Avantages : Travailler auprès d'experts reconnus dans un marché ouvert et dynamique, c'est la garantie d'apprendre au quotidien et de participer à l'excellence dans l'open source. L'ambiance est également un des principaux avantages. Inconvénients : Une société qui grandit vite peut parfois représenter un inconvénient.;J'ai travaillé chez Smile Group à temps plein plus d'un an;Employé actuel - Chef De Projet;Asnières-sur-Seine;5;13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html;28;Smile Group;3.7
Avantages : stabilité et très bonne ambiance Inconvénients : Faible évolution de la rémunération;Je travaille chez Smile Group à temps plein depuis moins d'un an;Employé actuel - Analyste développeur;Asnières-sur-Seine;4;13584-AVIS-SOC-GLASSDOOR-E1044716_P2.html;29;Smile Group;3.7
Avantages : Grande entreprise mondiale, facilité pour les jeunes diplômés, de bons stages, salaires attractifs pour les ingénieurs, cadres moins pour les postes d'assistantes Evolution interne pour ceux considérés comme des Talents. Un siège moderne, avec une cantine et salle de sport, tramway à 10 min à pied Très belle expérience pour les stagiaires et alternants Inconvénients : Loin de la Défense, les assistantes sont pas bien considérées et de moins ne moins présentes, salaires des Etam et assistantes cadres pas élévés (pas d'augmentation régulière sauf grâce aux RP ), participation et intéressement très faible (mini légal) pour un grand groupe, 30 jours de CP, un CET, RTT, chèque vacances/ culture et Noel si Atos International ...;Je travaille chez Atos à temps plein depuis plus de 10 ans;Employé actuel - Assistante Du CFO Groupe;Lyon;2;13550-AVIS-SOC-GLASSDOOR-E10686_P1.html;3;Atos;3.3
Avantages : Bonne ambiance, entreprise ayant des valeurs humaines, évolution de carriere Inconvénients : convention collective des industries pharmaceutiques;Je travaille chez Cegedim à temps plein depuis moins d'un an;Employé actuel - Consultant fonctionnel;Lyon;1;13585-AVIS-SOC-GLASSDOOR-E13058_P1.html;30;Cegedim;3.3
NULL NULL;J'ai travaillé chez Cegedim à temps plein moins d'un an;Ancien employé - Full Stack Developer;Paris;1;13585-AVIS-SOC-GLASSDOOR-E13058_P2.html;31;Cegedim;3.3
Avantages : Groupe agréable Commerciaux à l'écoute des employés Inconvénients : Salaire moyennement élevé comparé aux concurrents;J'ai travaillé chez Groupe Creative à temps plein moins d'un an;Ancien employé - Employé anonyme;;1;13586-AVIS-SOC-GLASSDOOR-E649071_P1.html;32;Groupe Creative;3.6
Avantages : Prime en juillet et janvier, ticket restaurant, cuisine avec micro onde et lave vaisselle Inconvénients : Les salaires sont bas comparés à la moyenne/ marché du travail. Beaucoup de turn over, ce qui peut être perturbant au travail.;J'ai travaillé chez Robert Half à temps plein moins d'un an;Ancien employé - assistante commerciale RH;Massy, Île-de-France;5;13587-AVIS-SOC-GLASSDOOR-E1838_P1.html;33;Robert Half;3.6
Avantages : Une entreprise dynamique qui vous donne votre chance. Des possibilités d'évolutions rapides. Equipe jeune. Inconvénients : Doit encore travailler sur plus de flexibilité pour ses salariés (télétravail par exemple).;Je travaille chez Robert Half à temps plein depuis plus d'un an;Employé actuel - Senior Consultant;Lyon;4;13587-AVIS-SOC-GLASSDOOR-E1838_P2.html;34;Robert Half;3.6
NULL NULL;Je travaille chez Lacoste à temps plein depuis plus de 3 ans;Employé actuel - Contrôleur De Gestion;Paris;3;13596-AVIS-SOC-GLASSDOOR-E111193_P1.html;35;Lacoste;3.4
Avantages : nombreux projets locaux et globaux Inconvénients : ambiance de travail très peu de valeur ajoutée peu de place pour l'initiative;Je travaille chez Lacoste à temps plein depuis plus d'un an;Employé actuel - Global Market Activity Executive;Paris;2;13596-AVIS-SOC-GLASSDOOR-E111193_P2.html;36;Lacoste;3.4
NULL NULL;J'ai travaillé chez Lacoste Traiteur à plus de 5 ans;Chargé De Projets;;3;13598-AVIS-SOC-GLASSDOOR-E1363502_P1.html;37;Lacoste Traiteur;3.5
Avantages : Salaires confortables mais qui compensent une forte précarité et une mutuelle médiocre Inconvénients : Sous-effectif permanent, pas d'investissement dans les infrastructures, changement fréquents de priorités ou même de stratégie;Je travaille chez CGIAR à temps plein depuis plus de 3 ans;Employé actuel - Employé anonyme;;2;13600-AVIS-SOC-GLASSDOOR-E541990_P1.html;38;CGIAR;3.2
Avantages : Autonomie, Polyvalence, challenge, independance, vie privé Inconvénients : Le manager nous guide peu.;Je travaille chez Volvo Group à temps plein depuis plus d'un an;Employé actuel - Business Analyst;Gothenburg;5;13602-AVIS-SOC-GLASSDOOR-E3516_P1.html;39;Volvo Group;4.0
Avantages : ambiance, CE, resto, proximité avec le client Inconvénients : suivi, mission, concurrence entre les différences agences;Je travaille chez Atos à temps plein depuis moins d'un an;Employé actuel - Ingénieur Développement Logiciel;Paris;2;13550-AVIS-SOC-GLASSDOOR-E10686_P2.html;4;Atos;3.3
Avantages : Une bonne ambiance de travail, des collègues sympathiques Inconvénients : Certaines décisions de l'encadrement, la politique de ressources humaines;J'ai travaillé chez Volvo Group à temps plein plus d'un an;Ancien employé - Anonymous;Gand;3;13602-AVIS-SOC-GLASSDOOR-E3516_P2.html;40;Volvo Group;4.0
Avantages : Des opportunités de carrière et présent partout dans le monde. Une expérience enrichissante avec un accès rapide à des responsabilités. Employeur équitable. Inconvénients : La bureaucratie dans une organisation si grande ralentit parfois le travail.;J'ai travaillé chez Volvo Trucks à temps plein plus de 3 ans;Ancien employé - Coordinateur;Greensboro, NC;1;13603-AVIS-SOC-GLASSDOOR-E5772_P1.html;41;Volvo Trucks;3.9
Avantages : Culture d'entreprise et perspective produit Inconvénients : Reconnaissance salariale et perspective d'evolution;Je travaille chez Volvo Cars à temps plein depuis plus de 10 ans;Employé actuel - Zone Manager;;4;13604-AVIS-SOC-GLASSDOOR-E37990_P1.html;42;Volvo Cars;4.1
Avantages : Belley est un endroit où il fait bon vivre. Entouré de nature dans un environnement calme. Bon équilibre entre travail et vie privée La plupart des employés sont des personnes aimables avec des valeurs, d'expérience et compétentes. Inconvénients : C'était beaucoup mieux avant. Constamment sur le déclin. Tout tourne autour du résultat. Manque d'orientations. Faible reconnaissance, micro-gestion , aucune confiance entre les services et rien n'est fait pour améliorer les choses. Licenciements réguliers. Certains directeurs peuvent ne montrer aucune empathie ou respect. Pas une culture de travail d'équipe et de performance.;Je travaille chez Volvo Construction Equipment à temps plein;Employé actuel - Anonymous;Belley, Rhône-Alpes;1;13606-AVIS-SOC-GLASSDOOR-E31197_P1.html;43;Volvo Construction Equipment;4.0
Avantages : Le management laisse une grande autonomie. Beaucoup d'opportunités de travailler avec des personnes très différentes partout dans le monde. Grands défis à relever. Inconvénients : La couche des cadres moyens est figée (certains managers occupent la même position depuis plus de 15 ans). Les salaires sont inférieurs à la moyenne du marché. Il est parfois difficile de travailler avec le QG.;Je travaille chez Volvo Information Technology à;Chef De Projet;;4;13607-AVIS-SOC-GLASSDOOR-E301204_P1.html;44;Volvo Information Technology;3.5
Avantages : feu vert est un entreprise avec un maillage nationale qui permet de pourvoir trouver un emploi non loin de son domicile Inconvénients : Le niveau de rémunération est faible pour les techniciens. Pour l'encadrement les conditions de travail dépendent beaucoup trop de l'humeur et de la vision du directeur opérationnel;J'ai travaillé chez Feu Vert à temps plein plus de 5 ans;Ancien employé - Directeur de centre auto;Paris;4;13612-AVIS-SOC-GLASSDOOR-E845851_P1.html;45;Feu Vert;2.8
